PK;Word;Hint
114;Superfluous;Unnecessary, especially through being more than enough
115;Schizophrenia;A mental disorder characterized by abnormal social behavior and a failure to recognize what is real
116;Tourniquet;A device used for stopping the flow of blood through a vein or artery
117;Vignette;A brief description or episode
118;Xenophobia;A dislike or prejudice against people from other countries
119;Anachronism;A thing belonging or appropriate to a period other than that in which it exists
120;Enervating;Causing one to feel drained of energy or vitality
121;Incognito;Having one's true identity concealed
122;Propensity;An inclination or natural tendency to behave in a particular way
123;Synecdoche;A figure of speech in which a part is made to represent the whole or vice versa
124;Adrenaline;A hormone that is released by the adrenal gland in response to stress, also known as epinephrine
125;Bizarre;Very strange or unusual
126;Cynical;Believing that people are motivated purely by self-interest
127;Diaphragm;A dome-shaped sheet of muscle that separates the chest cavity from the abdominal cavity
128;Enigma;A person or thing that is mysterious or difficult to understand
129;Flabbergasted;Shocked or surprised beyond words
130;Galvanize;Shock or excite (someone), typically into taking action
131;Hierarchy;A system or organization in which people or groups are ranked one above the other according to status or authority
132;Impeccable;"In accordance with the highest standards; flawless"
133;Juxtaposition;The fact of two things being seen or placed close together with contrasting effect
134;Kleptomaniac;A person who has an irresistible impulse to steal, typically without regard for need or profit
135;Labyrinth;A complicated irregular network of passages or paths in which it is difficult to find one's way
136;Melancholy;A feeling of pensive sadness, typically with no obvious cause
137;Nihilism;The rejection of all religious and moral principles, often in the belief that life is meaningless
138;Onomatopoeia;The formation of a word from a sound associated with what is named
139;Paradox;A statement or proposition that, despite sound reasoning from acceptable premises, leads to a conclusion that seems senseless, logically unacceptable, or self-contradictory
140;Quandary;A state of perplexity or uncertainty over what to do in a difficult situation
141;Resilient;Able to withstand or recover quickly from difficult conditions
142;Sarcasm;The use of irony to mock or convey contempt
143;Tautology;The saying of the same thing twice in different words, generally considered to be a fault of style
144;Ubiquitous;Present, appearing, or found everywhere
145;Vindictive;Having or showing a strong or unreasoning desire for revenge
146;Whimsical;Playfully quaint or fanciful, especially in an appealing and amusing way
147;Xylophone;A musical instrument consisting of a graduated series of wooden bars that are struck with mallets to produce musical tones
148;Yearning;A feeling of intense longing for something
149;Zest;Great enthusiasm and energy
150;Amicable;"Having a spirit of friendliness; without serious disagreement or rancor"
;;
;;
;;
